competition_id,season_id,country_name,competition_name,competition_gender,competition_youth,competition_international,season_name,match_updated,match_updated_360,match_available_360,match_available
9,27,Germany,1. Bundesliga,male,False,False,2015/2016,2023-12-12T07:43:33.436182,,,2023-12-12T07:43:33.436182
1267,107,Africa,African Cup of Nations,male,False,True,2023,2024-02-14T05:41:27.566989,,,2024-02-14T05:41:27.566989
16,4,Europe,Champions League,male,False,False,2018/2019,2023-03-07T12:20:48.118250,2021-06-13T16:17:31.694,,2023-03-07T12:20:48.118250
16,1,Europe,Champions League,male,False,False,2017/2018,2021-08-27T11:26:39.802832,2021-06-13T16:17:31.694,,2021-01-23T21:55:30.425330
16,2,Europe,Champions League,male,False,False,2016/2017,2021-08-27T11:26:39.802832,2021-06-13T16:17:31.694,,2020-07-29T05:00
16,27,Europe,Champions League,male,False,False,2015/2016,2021-08-27T11:26:39.802832,2021-06-13T16:17:31.694,,2020-07-29T05:00
16,26,Europe,Champions League,male,False,False,2014/2015,2021-08-27T11:26:39.802832,2021-06-13T16:17:31.694,,2020-07-29T05:00
16,25,Europe,Champions League,male,False,False,2013/2014,2021-08-27T11:26:39.802832,2021-06-13T16:17:31.694,,2020-07-29T05:00
16,24,Europe,Champions League,male,False,False,2012/2013,2021-08-27T11:26:39.802832,2021-06-13T16:17:31.694,,2021-07-10T13:41:45.751
16,23,Europe,Champions League,male,False,False,2011/2012,2021-08-27T11:26:39.802832,2021-06-13T16:17:31.694,,2020-07-29T05:00
16,22,Europe,Champions League,male,False,False,2010/2011,2022-01-26T21:07:11.033473,2021-06-13T16:17:31.694,,2022-01-26T21:07:11.033473
16,21,Europe,Champions League,male,False,False,2009/2010,2022-11-15T17:26:10.871011,2021-06-13T16:17:31.694,,2022-11-15T17:26:10.871011
16,41,Europe,Champions League,male,False,False,2008/2009,2021-11-07T14:20:01.699993,2021-06-13T16:17:31.694,,2021-11-07T14:20:01.699993
16,39,Europe,Champions League,male,False,False,2006/2007,2021-03-31T04:18:30.437060,2021-06-13T16:17:31.694,,2021-03-31T04:18:30.437060
16,37,Europe,Champions League,male,False,False,2004/2005,2021-04-01T06:18:57.459032,2021-06-13T16:17:31.694,,2021-04-01T06:18:57.459032
16,44,Europe,Champions League,male,False,False,2003/2004,2022-11-24T21:06:10.454916,2021-06-13T16:17:31.694,,2022-11-24T21:06:10.454916
16,76,Europe,Champions League,male,False,False,1999/2000,2020-07-29T05:00,2021-06-13T16:17:31.694,,2020-07-29T05:00
16,277,Europe,Champions League,male,False,False,1972/1973,2023-07-06T12:49:07.467625,,,2023-07-06T12:49:07.467625
16,71,Europe,Champions League,male,False,False,1971/1972,2020-07-29T05:00,2021-06-13T16:17:31.694,,2020-07-29T05:00
16,276,Europe,Champions League,male,False,False,1970/1971,2023-11-18T14:44:32.134540,,,2023-11-18T14:44:32.134540
87,84,Spain,Copa del Rey,male,False,False,1983/1984,2020-07-29T05:00,2021-06-13T16:17:31.694,,2020-07-29T05:00
87,268,Spain,Copa del Rey,male,False,False,1982/1983,2023-11-19T13:43:47.319278,,,2023-11-19T13:43:47.319278
87,279,Spain,Copa del Rey,male,False,False,1977/1978,2023-06-26T10:36:15.442581,,,2023-06-26T10:36:15.442581
37,90,England,FA Women's Super League,female,False,False,2020/2021,2023-02-25T14:52:09.326729,2021-06-13T16:17:31.694,,2023-02-25T14:52:09.326729
37,42,England,FA Women's Super League,female,False,False,2019/2020,2023-07-25T01:08:03.214566,2021-06-13T16:17:31.694,,2023-07-25T01:08:03.214566
37,4,England,FA Women's Super League,female,False,False,2018/2019,2023-07-24T19:50:20.881595,2021-06-13T16:17:31.694,,2023-07-24T19:50:20.881595
1470,274,International,FIFA U20 World Cup,male,False,False,1979,2023-06-28T10:55:11.501179,,,2023-06-28T10:55:11.501179
43,106,International,FIFA World Cup,male,False,True,2022,2023-11-05T04:23:26.649917,2023-11-21T15:37:11.589616,2023-11-21T15:37:11.589616,2023-11-05T04:23:26.649917
